space,room_size,capacity,user_per_min,width1,width2,width3,width4,width5,no_of_openings_1,no_of_openings_2,no_of_openings_3,no_of_openings_4,no_of_openings_5
Area for standing,50,167,5,0.65,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,5,0.65,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,5,0.65,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,5,0.65,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,5,0.65,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,5,0.65,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,5,0.65,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,40,0.75,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,40,0.75,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,40,0.75,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,40,0.75,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,40,0.75,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,40,0.75,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,40,0.75,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,49,0.81,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,49,0.81,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,49,0.81,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,49,0.81,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,49,0.81,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,49,0.81,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,49,0.81,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,54,0.9,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,54,0.9,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,54,0.9,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,54,0.9,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,54,0.9,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,54,0.9,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,54,0.9,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,60,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,60,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,60,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,60,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,60,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,60,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,60,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,72,1.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,72,1.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,72,1.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,72,1.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,72,1.2,0.0,0.0,0.0,0.0,True,False,False,False,False
